model_id,model_type,shot_mode,input_variant,n,f1_macro_mean,f1_macro_std,f1_micro,precision_micro,recall_micro,exact_match_rate,latency_s_mean,tokens_per_s_mean,peak_mem_mb_mean,cost_usd_per_doc,parse_fail_rate,missing,hallucinated
frontier-llm,api,few_shot,lines_only,20,0.667,0.1739,0.6545,0.72,0.6,0.05,15.348,41.97,,0.000755,0.0,20,0
frontier-llm,api,few_shot,lines_plus_kv,20,0.6627,0.1672,0.6484,0.7172,0.5917,0.05,13.897,43.5,,0.000737,0.0,21,0
frontier-llm,api,zero_shot,lines_only,20,0.6287,0.1499,0.6175,0.6907,0.5583,0.0,11.896,42.8,,0.000482,0.0,23,0
frontier-llm,api,zero_shot,lines_plus_kv,20,0.6627,0.1676,0.6544,0.732,0.5917,0.05,14.565,42.58,,0.000511,0.0,23,0
gemma2-2b,local,few_shot,lines_only,20,0.6377,0.2175,0.6009,0.6195,0.5833,0.15,13.439,8.75,2401.8,0.0,0.0,7,0
gemma2-2b,local,few_shot,lines_plus_kv,20,0.6619,0.2246,0.616,0.6239,0.6083,0.2,13.399,8.75,2573.7,0.0,0.0,3,0
gemma2-2b,local,zero_shot,lines_only,20,0.5711,0.2268,0.5472,0.6304,0.4833,0.05,11.993,8.83,2469.8,0.0,0.0,28,0
gemma2-2b,local,zero_shot,lines_plus_kv,20,0.5746,0.2231,0.5514,0.6277,0.4917,0.05,6.429,15.0,2201.8,0.0,0.0,26,0
gemma3-1b,local,few_shot,lines_only,20,0.4188,0.2718,0.35,0.35,0.35,0.05,4.633,24.78,1624.3,0.0,0.0,0,0
gemma3-1b,local,few_shot,lines_plus_kv,20,0.3938,0.228,0.3333,0.3333,0.3333,0.0,4.619,24.72,1639.7,0.0,0.0,0,0
gemma3-1b,local,zero_shot,lines_only,20,0.4414,0.2129,0.4087,0.4273,0.3917,0.0,3.93,26.75,1598.6,0.0,0.0,10,0
gemma3-1b,local,zero_shot,lines_plus_kv,20,0.4147,0.1982,0.3843,0.4037,0.3667,0.0,2.87,36.63,1600.9,0.0,0.0,11,0
gemma3-4b,local,few_shot,lines_only,20,0.6223,0.1915,0.5932,0.6034,0.5833,0.05,17.015,8.06,1510.0,0.0,0.0,4,0
gemma3-4b,local,few_shot,lines_plus_kv,20,0.642,0.1967,0.6102,0.6207,0.6,0.05,17.247,7.76,1593.8,0.0,0.0,4,0
gemma3-4b,local,zero_shot,lines_only,20,0.6316,0.212,0.6009,0.6195,0.5833,0.1,13.087,9.95,1625.1,0.0,0.0,7,0
gemma3-4b,local,zero_shot,lines_plus_kv,20,0.6619,0.218,0.6261,0.6545,0.6,0.15,7.712,15.59,1312.0,0.0,0.0,10,0
gemma4-31b,api,few_shot,lines_only,20,0.7241,0.2137,0.7,0.77,0.6417,0.25,2.003,52.84,,0.000707,0.0,20,0
gemma4-31b,api,few_shot,lines_plus_kv,20,0.7116,0.2043,0.6909,0.76,0.6333,0.2,4.706,48.55,,0.000715,0.0,20,0
gemma4-31b,api,zero_shot,lines_only,20,0.6894,0.1908,0.6667,0.7374,0.6083,0.15,1.777,61.14,,0.000361,0.0,21,0
