model_id,model_type,shot_mode,input_variant,n,f1_macro_mean,f1_macro_std,f1_micro,precision_micro,recall_micro,exact_match_rate,latency_s_mean,tokens_per_s_mean,peak_mem_mb_mean,cost_usd_per_doc,parse_fail_rate,missing,hallucinated
deepseek-v3,api,few_shot,lines_only,20,0.7258,0.2231,0.7064,0.7857,0.6417,0.25,1.963,46.8,,0.001332,0.0,22,0
deepseek-v3,api,few_shot,lines_plus_kv,20,0.7207,0.2225,0.6912,0.7732,0.625,0.25,1.9,47.59,,0.001344,0.0,23,0
deepseek-v3,api,zero_shot,lines_only,20,0.6887,0.2315,0.6728,0.7526,0.6083,0.2,1.987,44.51,,0.000718,0.0,23,0
deepseek-v3,api,zero_shot,lines_plus_kv,20,0.6652,0.213,0.6452,0.7216,0.5833,0.2,2.039,44.43,,0.000721,0.0,23,0
gemma2-2b,local,few_shot,lines_only,20,0.6377,0.2175,0.6009,0.6195,0.5833,0.15,13.439,8.75,2401.8,0.0,0.0,7,0
gemma2-2b,local,few_shot,lines_plus_kv,20,0.6619,0.2246,0.616,0.6239,0.6083,0.2,13.399,8.75,2573.7,0.0,0.0,3,0
gemma2-2b,local,zero_shot,lines_only,20,0.5711,0.2268,0.5472,0.6304,0.4833,0.05,11.993,8.83,2469.8,0.0,0.0,28,0
gemma2-2b,local,zero_shot,lines_plus_kv,20,0.5746,0.2231,0.5514,0.6277,0.4917,0.05,6.429,15.0,2201.8,0.0,0.0,26,0
gemma3-1b,local,few_shot,lines_only,20,0.4188,0.2718,0.35,0.35,0.35,0.05,4.633,24.78,1624.3,0.0,0.0,0,0
gemma3-1b,local,few_shot,lines_plus_kv,20,0.3938,0.228,0.3333,0.3333,0.3333,0.0,4.619,24.72,1639.7,0.0,0.0,0,0
gemma3-1b,local,zero_shot,lines_only,20,0.4414,0.2129,0.4087,0.4273,0.3917,0.0,3.93,26.75,1598.6,0.0,0.0,10,0
gemma3-1b,local,zero_shot,lines_plus_kv,20,0.4147,0.1982,0.3843,0.4037,0.3667,0.0,2.87,36.63,1600.9,0.0,0.0,11,0
gemma3-27b,api,few_shot,lines_only,20,0.7217,0.205,0.7032,0.7778,0.6417,0.2,2.431,41.65,,0.000471,0.0,21,0
gemma3-27b,api,few_shot,lines_plus_kv,20,0.7268,0.1979,0.7091,0.78,0.65,0.2,2.414,41.63,,0.000476,0.0,20,0
gemma3-27b,api,zero_shot,lines_only,20,0.7013,0.2047,0.6818,0.75,0.625,0.2,2.575,47.08,,0.000242,0.0,20,0
gemma3-27b,api,zero_shot,lines_plus_kv,20,0.7013,0.2047,0.6818,0.75,0.625,0.2,2.495,48.61,,0.000244,0.0,20,0
gemma3-4b,local,few_shot,lines_only,20,0.6223,0.1915,0.5932,0.6034,0.5833,0.05,17.015,8.06,1510.0,0.0,0.0,4,0
